timestamp,open,high,low,close,volume
2025-10-01 08:00:00,1.095,1.097,1.094,1.096,100
2025-10-01 09:00:00,1.096,1.098,1.095,1.097,110
2025-10-01 10:00:00,1.097,1.099,1.096,1.098,120
2025-10-01 11:00:00,1.098,1.1,1.097,1.099,130
2025-10-01 12:00:00,1.099,1.101,1.098,1.1,140
2025-10-01 13:00:00,1.1,1.102,1.099,1.101,150
2025-10-01 14:00:00,1.101,1.103,1.1,1.102,160
2025-10-01 15:00:00,1.102,1.104,1.101,1.103,170
2025-10-01 16:00:00,1.103,1.105,1.102,1.104,180
2025-10-01 17:00:00,1.104,1.106,1.103,1.105,190
